T_ID,GDAY_DS,HEADER_NO,NAME,INN2,R,ER,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,BF,WHIP,MONEY,AGE_VA
HH,20200721,0,김범수,11.0,5.0,5.0,21.0,16.0,7.0,1.0,0.0,1.0,4.0,0.0,1.0,3.0,95.0,1.59,6500.0,25
HH,20200721,0,문동욱,3.0,1.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,1.65,3200.0,28
HH,20200721,0,박상원,4.0,1.0,1.0,6.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,24.0,1.71,11000.0,26
HH,20200721,0,송윤준,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1.5,2700.0,28
HH,20200721,0,윤대경,3.0,2.0,1.0,7.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,33.0,2.07,2800.0,26
HH,20200721,0,황영국,3.0,1.0,1.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,1.76,2900.0,25
HH,20200722,0,강재민,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,1.03,0.0,23
HH,20200722,0,김민우,15.0,2.0,2.0,23.0,19.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,97.0,1.4,4200.0,25
HH,20200722,0,김종수,3.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.5,3800.0,26
HH,20200722,0,정우람,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,1.0,80000.0,35
HH,20200724,0,김진욱,3.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,1.71,2900.0,20
HH,20200724,0,박상원,7.0,2.0,2.0,10.0,9.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,35.0,3.4,22000.0,52
