GDAY_DS,BAT_ORDER_NO,START_CK,AB,RUN,HIT,H2,H3,HR,TB,RBI,SB,CS,BB,HP,IB,KK,GD,SH,SF,NAME,T_ID,MONEY,TB_SC,HEADER_NO,PA,AGE_VA
20200721,2,1.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,터커,HT,55000.0,T,0,5.0,30.0
20200722,2,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,터커,HT,55000.0,T,0,4.0,30.0
20200725,2,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,터커,HT,55000.0,B,0,4.0,30.0
20200726,2,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,터커,HT,55000.0,B,0,5.0,30.0
20200730,2,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,터커,HT,55000.0,B,0,4.0,30.0
20200731,2,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,터커,HT,55000.0,T,0,5.0,30.0
20200801,3,1.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,터커,HT,55000.0,T,0,4.0,30.0
20200802,3,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,터커,HT,55000.0,T,0,3.0,30.0
20200804,3,1.0,4.0,2.0,2.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,터커,HT,55000.0,B,0,4.0,30.0
20200805,3,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,터커,HT,55000.0,B,0,4.0,30.0
20200806,3,1.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,터커,HT,55000.0,B,0,4.0,30.0
