GDAY_DS,START_CK,INN2,R,ER,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,BF,WHIP,NAME,T_ID,MONEY,WLS,TB_SC,HEADER_NO,AGE_VA
20200725,1,17.0,2.0,2.0,23.0,20.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,104.0,1.14,브룩스,HT,47900.0,W,B,0,30
20200731,1,24.0,1.0,1.0,30.0,28.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,105.0,1.12,브룩스,HT,47900.0,W,T,0,30
20200806,1,24.0,1.0,1.0,26.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,95.0,1.07,브룩스,HT,47900.0,W,B,0,30
20200812,1,18.0,5.0,5.0,24.0,23.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,93.0,1.08,브룩스,HT,47900.0,L,T,0,30
20200818,1,18.0,3.0,3.0,25.0,23.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,103.0,1.1,브룩스,HT,47900.0,L,T,0,30
20200823,1,19.0,4.0,4.0,27.0,26.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0,1.11,브룩스,HT,47900.0,W,T,0,30
20200901,1,24.0,0.0,0.0,26.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0,1.07,브룩스,HT,47900.0,W,B,0,30
20200906,1,21.0,1.0,1.0,24.0,24.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,94.0,1.04,브룩스,HT,47900.0,W,T,0,30
20200913,1,19.0,2.0,2.0,27.0,23.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,104.0,1.05,브룩스,HT,47900.0,W,T,0,30
20200919,1,21.0,0.0,0.0,23.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,83.0,1.02,브룩스,HT,47900.0,W,B,0,30
20200721,1,20.0,0.0,0.0,22.0,20.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,100.0,1.22,가뇽,HT,65000.0,W,T,0,30
20200802,1,13.0,6.0,5.0,24.0,19.0,7.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,98.0,1.29,가뇽,HT,65000.0,L,T,0,30
