GDAY_DS,T_ID,HEADER_NO,START_CK,AB,RUN,HIT,H2,H3,HR,TB,RBI,SB,CS,BB,HP,IB,KK,GD,SH,SF,PA,TB_SC
20200721,HH,0,9.0,29.0,2.0,3.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,32.0,B
20200721,HT,0,9.0,41.0,10.0,16.0,2.0,0.0,2.0,24.0,9.0,0.0,1.0,8.0,1.0,0.0,8.0,2.0,0.0,0.0,50.0,T
20200721,KT,0,9.0,34.0,10.0,12.0,0.0,0.0,3.0,21.0,10.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,1.0,0.0,39.0,B
20200721,LG,0,9.0,38.0,9.0,13.0,4.0,0.0,2.0,23.0,9.0,0.0,1.0,6.0,0.0,0.0,7.0,1.0,0.0,0.0,44.0,T
20200721,LT,0,9.0,35.0,7.0,10.0,1.0,0.0,1.0,14.0,7.0,1.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,40.0,T
20200721,NC,0,9.0,38.0,6.0,13.0,3.0,0.0,3.0,25.0,6.0,0.0,2.0,2.0,1.0,1.0,7.0,0.0,1.0,0.0,42.0,B
20200721,OB,0,9.0,31.0,6.0,7.0,2.0,1.0,1.0,14.0,6.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,32.0,B
20200721,SK,0,9.0,34.0,8.0,13.0,1.0,0.0,3.0,23.0,8.0,2.0,0.0,4.0,0.0,0.0,6.0,1.0,1.0,1.0,40.0,B
20200721,SS,0,9.0,36.0,5.0,9.0,0.0,0.0,1.0,12.0,5.0,3.0,0.0,4.0,0.0,0.0,7.0,2.0,1.0,0.0,41.0,T
20200721,WO,0,9.0,35.0,1.0,9.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,36.0,T
20200722,HH,0,9.0,29.0,1.0,4.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,14.0,1.0,1.0,0.0,35.0,B
20200722,HT,0,9.0,30.0,2.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,1.0,0.0,10.0,0.0,3.0,0.0,37.0,T
20200724,HH,0,9.0,29.0,4.0,5.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,7.0,0.0,0.0,11.0,1.0,0.0,0.0,36.0,B
20200724,KT,0,9.0,33.0,2.0,6.0,1.0,0.0,1.0,10.0,1.0,2.0,1.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,39.0,B
20200724,LG,0,9.0,40.0,8.0,15.0,2.0,1.0,2.0,25.0,8.0,1.0,0.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,46.0,T
20200724,LT,0,9.0,33.0,4.0,9.0,1.0,0.0,0.0,10.0,3.0,2.0,2.0,6.0,0.0,0.0,8.0,1.0,1.0,0.0,40.0,T
20200724,NC,0,9.0,32.0,3.0,7.0,2.0,0.0,1.0,12.0,3.0,1.0,0.0,3.0,0.0,0.0,11.0,0.0,2.0,0.0,37.0,T
20200724,OB,0,9.0,31.0,1.0,8.0,3.0,0.0,0.0,11.0,1.0,1.0,1.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,35.0,B
20200724,SK,0,9.0,34.0,7.0,8.0,1.0,0.0,3.0,18.0,7.0,1.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,1.0,40.0,T
20200724,WO,0,9.0,31.0,2.0,6.0,2.0,0.0,1.0,11.0,2.0,1.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,1.0,34.0,B
20200725,HT,0,9.0,31.0,8.0,11.0,2.0,0.0,0.0,13.0,8.0,0.0,0.0,3.0,0.0,1.0,9.0,1.0,2.0,1.0,37.0,B
20200725,KT,0,9.0,29.0,6.0,8.0,4.0,0.0,1.0,15.0,6.0,0.0,1.0,4.0,0.0,0.0,9.0,2.0,0.0,0.0,33.0,B
20200725,LG,0,9.0,35.0,3.0,10.0,3.0,0.0,0.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,36.0,T
20200725,LT,0,9.0,35.0,6.0,9.0,2.0,0.0,0.0,11.0,6.0,0.0,1.0,3.0,2.0,0.0,11.0,0.0,0.0,0.0,40.0,T
20200725,NC,0,9.0,31.0,2.0,6.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,36.0,T
20200725,OB,0,9.0,31.0,7.0,10.0,4.0,0.0,1.0,17.0,7.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,34.0,B
20200725,SS,0,9.0,32.0,2.0,7.0,1.0,0.0,0.0,8.0,2.0,1.0,1.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,38.0,T
20200725,WO,0,9.0,27.0,3.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,1.0,0.0,8.0,1.0,1.0,1.0,36.0,B
20200726,HH,0,9.0,34.0,4.0,8.0,2.0,0.0,1.0,13.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,1.0,0.0,0.0,38.0,B
20200726,HT,0,9.0,37.0,8.0,12.0,2.0,1.0,0.0,16.0,6.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,41.0,B
20200726,KT,0,9.0,34.0,5.0,8.0,0.0,0.0,3.0,17.0,5.0,2.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,36.0,B
20200726,LG,0,9.0,33.0,4.0,7.0,0.0,1.0,0.0,9.0,4.0,2.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,1.0,36.0,T
20200726,LT,0,9.0,34.0,1.0,8.0,3.0,0.0,0.0,11.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,37.0,T
