GDAY_DS,T_ID,HEADER_NO,INN2,R,ER,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,BF,WHIP,TB_SC,WLS
20200721,HH,0,27.0,10.0,9.0,50.0,41.0,16.0,2.0,0.0,2.0,8.0,0.0,1.0,8.0,222.0,10.28,B,L
20200721,HT,0,24.0,2.0,2.0,29.0,26.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0,122.0,3.66,T,W
20200721,KT,0,27.0,9.0,9.0,44.0,38.0,13.0,4.0,0.0,2.0,6.0,0.0,0.0,7.0,168.0,8.85,B,W
20200721,LG,0,24.0,10.0,10.0,39.0,34.0,12.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,150.0,9.72,T,L
20200721,LT,0,25.0,8.0,8.0,40.0,34.0,13.0,1.0,0.0,3.0,4.0,0.0,0.0,6.0,166.0,9.26,T,L
20200721,NC,0,30.0,5.0,5.0,41.0,36.0,9.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,182.0,10.8,B,W
20200721,OB,0,27.0,1.0,1.0,36.0,35.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,143.0,7.930000000000001,B,W
20200721,SK,0,27.0,7.0,7.0,40.0,35.0,10.0,1.0,0.0,1.0,5.0,0.0,0.0,4.0,161.0,7.46,B,W
20200721,SS,0,28.0,6.0,6.0,42.0,38.0,13.0,3.0,0.0,3.0,2.0,1.0,1.0,7.0,162.0,8.08,T,L
20200721,WO,0,24.0,6.0,6.0,32.0,31.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,121.0,3.9899999999999998,T,L
20200722,HH,0,27.0,2.0,2.0,37.0,30.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,148.0,4.93,B,L
20200722,HT,0,27.0,1.0,1.0,35.0,29.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,14.0,153.0,4.84,T,W
20200724,HH,0,27.0,7.0,7.0,40.0,34.0,8.0,1.0,0.0,3.0,5.0,0.0,0.0,13.0,164.0,11.42,B,L
20200724,KT,0,27.0,3.0,3.0,37.0,32.0,7.0,2.0,0.0,1.0,3.0,0.0,0.0,11.0,152.0,4.77,B,L
20200724,LG,0,27.0,1.0,1.0,35.0,31.0,8.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,134.0,11.030000000000001,T,W
20200724,LT,0,27.0,2.0,2.0,34.0,31.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,12.0,142.0,6.09,T,W
20200724,NC,0,27.0,2.0,1.0,39.0,33.0,6.0,1.0,0.0,1.0,6.0,0.0,0.0,10.0,154.0,3.71,T,W
20200724,OB,0,27.0,8.0,8.0,46.0,40.0,15.0,2.0,1.0,2.0,5.0,1.0,1.0,3.0,170.0,8.2,B,L
20200724,SK,0,27.0,4.0,4.0,36.0,29.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,163.0,6.94,T,W
20200724,WO,0,27.0,4.0,4.0,40.0,33.0,9.0,1.0,0.0,0.0,6.0,0.0,0.0,8.0,176.0,7.14,B,L
20200725,HT,0,24.0,2.0,2.0,34.0,29.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0,8.0,157.0,5.8500000000000005,B,W
20200725,KT,0,27.0,2.0,2.0,36.0,31.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,150.0,4.699999999999999,B,W
20200725,LG,0,24.0,7.0,7.0,34.0,31.0,10.0,4.0,0.0,1.0,2.0,0.0,0.0,6.0,149.0,4.38,T,L
20200725,LT,0,27.0,3.0,3.0,36.0,27.0,3.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,145.0,7.6899999999999995,T,W
20200725,NC,0,24.0,6.0,6.0,33.0,29.0,8.0,4.0,0.0,1.0,4.0,0.0,0.0,9.0,141.0,7.35,T,L
20200725,OB,0,27.0,3.0,3.0,36.0,35.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,137.0,6.739999999999999,B,W
20200725,SS,0,24.0,8.0,8.0,37.0,31.0,11.0,2.0,0.0,0.0,3.0,1.0,0.0,9.0,164.0,5.01,T,L
20200725,WO,0,27.0,6.0,6.0,40.0,35.0,9.0,2.0,0.0,0.0,3.0,0.0,2.0,11.0,132.0,4.11,B,L
20200726,HH,0,27.0,7.0,7.0,42.0,35.0,10.0,2.0,0.0,0.0,5.0,0.0,2.0,5.0,180.0,12.120000000000001,B,L
20200726,HT,0,27.0,5.0,5.0,43.0,36.0,12.0,4.0,0.0,1.0,4.0,0.0,0.0,4.0,157.0,6.779999999999999,B,W
20200726,KT,0,27.0,4.0,4.0,34.0,32.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,7.0,123.0,5.74,B,W
20200726,LG,0,27.0,3.0,3.0,40.0,32.0,8.0,2.0,0.0,1.0,6.0,1.0,1.0,5.0,163.0,7.81,T,W
20200726,LT,0,24.0,8.0,8.0,40.0,35.0,13.0,4.0,0.0,0.0,4.0,1.0,1.0,5.0,150.0,7.95,T,L
20200726,NC,0,24.0,5.0,3.0,36.0,34.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,138.0,2.37,T,L
20200726,OB,0,27.0,4.0,2.0,36.0,33.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,139.0,6.120000000000001,B,L
20200726,SK,0,27.0,4.0,4.0,38.0,34.0,8.0,2.0,0.0,1.0,4.0,0.0,0.0,8.0,174.0,8.02,T,W
20200726,SS,0,24.0,8.0,6.0,41.0,37.0,12.0,2.0,1.0,0.0,3.0,0.0,1.0,5.0,170.0,9.66,T,L
20200726,WO,0,27.0,1.0,0.0,37.0,34.0,8.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,133.0,8.93,B,W
20200727,HH,0,27.0,5.0,5.0,37.0,32.0,10.0,3.0,0.0,1.0,3.0,0.0,1.0,5.0,138.0,7.62,B,D
20200727,SK,0,27.0,5.0,5.0,35.0,29.0,5.0,3.0,0.0,0.0,5.0,0.0,0.0,5.0,156.0,8.53,T,D
20200728,LG,0,27.0,7.0,7.0,41.0,34.0,8.0,3.0,0.0,2.0,5.0,0.0,2.0,10.0,166.0,8.17,T,W
20200728,LT,0,27.0,9.0,8.0,46.0,42.0,17.0,3.0,0.0,2.0,4.0,0.0,0.0,7.0,185.0,9.129999999999999,B,W
20200728,NC,0,26.0,11.0,11.0,46.0,36.0,14.0,3.0,0.0,2.0,8.0,1.0,0.0,6.0,168.0,9.950000000000001,T,L
20200728,OB,0,27.0,6.0,5.0,43.0,34.0,8.0,2.0,0.0,1.0,5.0,1.0,2.0,6.0,166.0,7.15,B,L
20200728,SK,0,27.0,24.0,24.0,58.0,49.0,23.0,3.0,1.0,6.0,7.0,1.0,2.0,6.0,221.0,11.68,B,L
20200728,WO,0,27.0,2.0,2.0,38.0,36.0,9.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0,130.0,6.1000000000000005,T,W
20200729,HH,0,27.0,7.0,7.0,44.0,34.0,9.0,1.0,0.0,2.0,8.0,0.0,2.0,7.0,195.0,8.94,T,W
